,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Ptma,7.13E-19,-0.069595168,0.993,0.995,9.65E-15
Lat,7.18E-19,-0.060103147,0.896,0.925,9.72E-15
Rhog,7.23E-19,-0.058611316,0.446,0.512,9.79E-15
H2-Q4,7.50E-19,-0.057668223,0.261,0.317,1.02E-14
Ndufb4,8.05E-19,-0.056258458,0.3,0.357,1.09E-14
Galnt6,1.62E-18,-0.055182805,0.198,0.247,2.19E-14
Tbrg1,1.89E-18,-0.0574376,0.312,0.369,2.56E-14
Ostf1,2.03E-18,-0.058631711,0.323,0.382,2.75E-14
Hist1h1d,2.18E-18,0.050193885,0.131,0.092,2.96E-14
Arl6ip1,2.53E-18,-0.066061333,0.603,0.663,3.42E-14
Psmb8,3.04E-18,-0.071945496,0.552,0.609,4.12E-14
Ddx24,3.50E-18,-0.06434619,0.375,0.434,4.74E-14
Strap,3.55E-18,-0.050273222,0.328,0.388,4.81E-14
Rasgrp2,4.48E-18,-0.071122281,0.317,0.371,6.06E-14
Pnrc1,4.87E-18,-0.060567604,0.923,0.956,6.59E-14
Rrad,5.85E-18,-0.06932564,0.135,0.179,7.92E-14
Sh3bp1,6.91E-18,-0.050350347,0.216,0.267,9.36E-14
Ccr9,7.06E-18,-0.112292591,0.591,0.649,9.56E-14
Atp6v0c,7.13E-18,-0.058658342,0.538,0.608,9.66E-14
Ldha,7.20E-18,-0.094648403,0.688,0.724,9.75E-14
Hnrnpdl,7.48E-18,-0.061435415,0.575,0.639,1.01E-13
Gm8369,7.85E-18,-0.053652105,0.109,0.149,1.06E-13
Rflnb,8.90E-18,-0.060318015,0.109,0.148,1.21E-13
Kmt2e,8.92E-18,-0.058518363,0.44,0.502,1.21E-13
Sugt1,1.26E-17,-0.05187421,0.252,0.305,1.71E-13
Xrn2,1.68E-17,-0.056996075,0.371,0.429,2.27E-13
Ptbp1,2.21E-17,-0.063336493,0.487,0.548,2.99E-13
Izumo1r,2.35E-17,-0.054823993,0.142,0.186,3.18E-13
Cbx4,3.04E-17,0.062175111,0.266,0.218,4.12E-13
Marcksl1,3.06E-17,-0.089034473,0.32,0.374,4.14E-13
Set,8.62E-17,-0.071566328,0.459,0.515,1.17E-12
Ctsw,1.15E-16,-0.071295214,0.355,0.413,1.55E-12
Btg2,1.39E-16,0.098244991,0.623,0.586,1.88E-12
Polr2e,1.43E-16,-0.050006633,0.213,0.261,1.94E-12
Tap1,1.46E-16,-0.054070231,0.216,0.264,1.97E-12
Nsd3,1.47E-16,-0.056376492,0.36,0.416,1.98E-12
Hint1,1.74E-16,-0.059794409,0.381,0.438,2.36E-12
Cd82,2.24E-16,-0.064571365,0.202,0.248,3.04E-12
Ndufa11,2.47E-16,-0.050010481,0.315,0.37,3.35E-12
Kcnn4,2.58E-16,-0.062323232,0.294,0.345,3.49E-12
Atp5g1,3.68E-16,-0.051456302,0.479,0.544,4.99E-12
Gpx4,4.13E-16,-0.067231258,0.467,0.526,5.60E-12
Atrx,4.71E-16,-0.054332257,0.358,0.414,6.37E-12
1700097N02Rik,4.82E-16,0.063088633,0.234,0.19,6.53E-12
P4hb,6.25E-16,-0.052878736,0.346,0.401,8.46E-12
Ccnb1ip1,6.41E-16,0.068507488,0.106,0.074,8.68E-12
Dnaja1,7.54E-16,-0.059943401,0.823,0.848,1.02E-11
Ssh2,8.58E-16,-0.051223126,0.215,0.262,1.16E-11
Serf2,8.66E-16,-0.050088024,0.949,0.951,1.17E-11
Reep5,9.35E-16,-0.050148624,0.366,0.423,1.27E-11
Ppp1r10,9.74E-16,-0.051320546,0.214,0.261,1.32E-11
Fus,1.04E-15,-0.065848955,0.54,0.6,1.41E-11
Tob1,1.17E-15,-0.06024986,0.337,0.393,1.59E-11
Fth1,1.26E-15,-0.064979426,0.969,0.975,1.70E-11
Dgka,1.39E-15,-0.054653259,0.475,0.536,1.88E-11
Impdh2,1.44E-15,-0.051719208,0.295,0.347,1.95E-11
Jak1,1.51E-15,-0.068192667,0.594,0.645,2.05E-11
Higd1a,1.70E-15,-0.05099203,0.305,0.356,2.30E-11
Nr3c1,2.24E-15,-0.052334391,0.258,0.307,3.03E-11
Eif4g2,2.32E-15,-0.062505462,0.638,0.692,3.14E-11
