,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Sumo1,9.53E-27,-0.072563281,0.418,0.492,1.29E-22
Ptges3,1.27E-26,-0.067855794,0.315,0.386,1.72E-22
Gapdh,1.75E-26,0.084253469,0.949,0.926,2.36E-22
Rpl27,2.45E-26,0.058233163,0.997,0.996,3.31E-22
Ifi213,2.46E-26,-0.070020065,0.108,0.157,3.33E-22
Gpr132,2.48E-26,-0.071888665,0.345,0.417,3.36E-22
Oaz1,2.72E-26,-0.066611481,0.982,0.987,3.68E-22
Pdcd10,3.81E-26,-0.06587359,0.359,0.431,5.15E-22
Pafah1b1,4.03E-26,-0.07130603,0.479,0.558,5.46E-22
Ier2,6.92E-26,-0.091591026,0.535,0.609,9.37E-22
Dhx9,7.54E-26,-0.071538272,0.363,0.439,1.02E-21
Ralgps2,7.62E-26,-0.064191179,0.208,0.271,1.03E-21
Klf2,9.22E-26,-0.21258877,0.46,0.507,1.25E-21
Tmem59,9.54E-26,-0.066225563,0.359,0.432,1.29E-21
Cyth4,1.11E-25,-0.06081066,0.178,0.237,1.50E-21
Mia2,1.19E-25,-0.061956105,0.216,0.279,1.62E-21
Usf1,1.32E-25,-0.050776539,0.161,0.219,1.79E-21
Bzw2,1.39E-25,-0.069040278,0.309,0.378,1.89E-21
Tuba1b,1.64E-25,-0.097199212,0.386,0.458,2.22E-21
Sec11c,1.69E-25,-0.068856475,0.305,0.373,2.29E-21
Sh3bp5,1.94E-25,-0.055977518,0.098,0.145,2.62E-21
Hp1bp3,2.99E-25,-0.065148975,0.338,0.412,4.04E-21
Rpl12,3.27E-25,0.103145576,0.862,0.825,4.43E-21
Psip1,3.71E-25,-0.073064706,0.42,0.493,5.02E-21
Klf3,4.82E-25,-0.075279782,0.333,0.404,6.53E-21
