,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Cwc15,1.07660322999667e-05,-0.0228130816361658,0.371,0.404,0.14578284337385
Mrpl23,1.09362378578328e-05,-0.0214104364098281,0.295,0.327,0.148087596832915
Lsm1,1.12899149650768e-05,-0.0201761849617778,0.191,0.217,0.152876738542105
Suds3,1.14097658417714e-05,-0.0203899006716497,0.165,0.189,0.154499639263426
Hsdl2,1.20681400524069e-05,-0.0219424976721295,0.226,0.254,0.163414684449642
C1d,1.24860464330994e-05,-0.0205433750346748,0.181,0.205,0.169073554750599
Dnajc15,1.25280383694374e-05,0.0405682962318868,0.328,0.304,0.169642167560552
Psmc4,1.26313602395006e-05,-0.0202615752020896,0.282,0.313,0.171041249003078
Akap9,1.28047417640899e-05,-0.0215942309364461,0.192,0.217,0.173389008227541
Uqcrfs1,1.29041604170105e-05,-0.023606516230143,0.426,0.461,0.174735236206739
Rfc1,1.3236915826539e-05,-0.0223084752531335,0.159,0.182,0.179241077207164
Caprin1,1.3251163149894e-05,-0.0201859019609515,0.358,0.393,0.179434000212714
Psmd4,1.37326336881127e-05,-0.0277833695554401,0.4,0.431,0.185953592770734
Sf3a3,1.37819439574131e-05,-0.0203729467532089,0.19,0.215,0.186621303127331
Zfx,1.49190493115497e-05,-0.0208865353674054,0.145,0.167,0.202018846727694
Htatsf1,1.52365502096732e-05,-0.0211353780231426,0.161,0.184,0.206318126389185
March2,1.54039848376024e-05,-0.0215710865024883,0.208,0.233,0.208585358685974
Ddx27,1.54164561568901e-05,-0.0221850608438973,0.181,0.205,0.20875423282045
Grk6,1.55378081338396e-05,-0.0233431327017293,0.16,0.183,0.210397459940323
Tram1,1.58254701635996e-05,-0.0272360360798061,0.317,0.347,0.214292691485302
Rps20,1.60382257952934e-05,-0.0262902409115173,0.999,0.999,0.217173615494068
Atox1,1.60820785091963e-05,-0.0253766434077465,0.392,0.426,0.217767425093027
Zcchc6,1.62912030146139e-05,-0.0214748557213783,0.189,0.214,0.220599180020886
Zcchc9,1.64706311135658e-05,0.0252533933009801,0.16,0.139,0.223028815908794
Acin1,1.65776771265084e-05,-0.0258618509241525,0.471,0.509,0.22447832597005
Tmem33,1.66062795211217e-05,-0.0208646555502083,0.166,0.189,0.224865630995509
Nbdy,1.68686809438465e-05,-0.0212664402100702,0.161,0.184,0.228418808660625
Stip1,1.71997006442768e-05,-0.0226845175524814,0.271,0.299,0.232901146424152
Dcun1d5,1.78820966802436e-05,-0.0214176885466507,0.329,0.361,0.242141471147178
Uspl1,1.79115515126592e-05,0.0302077782030843,0.149,0.129,0.242540319032918
Fam53a,1.83686368155647e-05,-0.023724995216412,0.187,0.211,0.248729711119562
Rsbn1,1.90393269506083e-05,-0.0203308652938453,0.215,0.241,0.257811526238187
Srrm2,1.92942496012665e-05,-0.0227668210979862,0.545,0.584,0.261263433850749
Cdca7,1.93016681640537e-05,0.0325899162596305,0.18,0.159,0.261363888609451
Tagap,1.97874190954497e-05,-0.0262557631893358,0.147,0.169,0.267941441971485
Arl6ip6,2.02678733558762e-05,-0.020567497225215,0.123,0.144,0.27444727311192
Ap3s1,2.0480774184773e-05,0.0454635943084734,0.433,0.414,0.277330163236011
Sgk1,2.08998377968227e-05,-0.0202736320458914,0.138,0.159,0.283004703606776
Rgs3,2.09875962233113e-05,0.0224976230536795,0.109,0.092,0.284193040459859
Selenoh,2.12972868733955e-05,-0.0261337395019059,0.228,0.253,0.288386561552648
Kcnab2,2.1572740533481e-05,-0.0244298333568895,0.192,0.215,0.292116479563866
Paip2,2.16436555822329e-05,-0.0251131921610516,0.498,0.534,0.293076740239016
Gmfg,2.19856660559867e-05,0.04395637790676,0.611,0.599,0.297707904064115
Slc35d1,2.21212399292833e-05,-0.0225456840608842,0.147,0.17,0.299543709882426
Plcg1,2.21946562552634e-05,-0.020803337484388,0.163,0.186,0.300537840352522
Ezr,2.2469888482599e-05,-0.0335676422567962,0.625,0.658,0.304264759942873
2010111I01Rik,2.24777995577856e-05,-0.0200952682471009,0.174,0.198,0.304371883811974
Lck,2.25783173454338e-05,0.0417915407587139,0.905,0.902,0.305732995174518
Colq,2.26693300221961e-05,0.0333774258319341,0.151,0.132,0.306965397830558
Rbm17,2.32895560853472e-05,-0.0211116012328555,0.259,0.287,0.315363878951686
Svbp,2.3378164505256e-05,-0.0204872930801096,0.181,0.205,0.316563725565671
Ptpn18,2.34351400195867e-05,-0.0241055972374855,0.553,0.592,0.317335231005224
Zfp219,2.36552378954673e-05,-0.0238304417224349,0.098,0.116,0.320315576342523
Dock8,2.36664841448198e-05,-0.0209164822365228,0.262,0.29,0.320467861805005
Rps3a1,2.3896074698682e-05,0.0214006132896776,1,0.999,0.323576747494853
Psma4,2.41340908267239e-05,-0.0241172522366949,0.253,0.28,0.326799723884669
Rap1gds1,2.61449871641356e-05,-0.0201777424190969,0.119,0.139,0.354029271189561
Cox14,2.61943980959181e-05,-0.0222801622920294,0.245,0.272,0.354698344616827
Fam96a,2.63081808374262e-05,-0.0216191201960411,0.244,0.27,0.356239076719588
Hist1h1c,2.63232436119679e-05,0.0258197397105593,0.174,0.153,0.356443041749657
Rpl35,2.6773737626057e-05,0.026107583672272,0.998,0.997,0.362543181194438
Cdk4,2.72107180091143e-05,-0.0237908366680409,0.31,0.339,0.368460332561417
Rpl11,2.74214973156401e-05,0.0218706285579136,1,1,0.371314495151082
Il17ra,2.77247117062178e-05,-0.0213956453175776,0.203,0.228,0.375420321213895
Azin1,2.77380882223946e-05,-0.0237399917496884,0.198,0.222,0.375601452619445
Pcm1,2.82564895131134e-05,-0.0236883384545117,0.175,0.197,0.382621124497068
Tmem128,2.86974999547483e-05,-0.0201624835331138,0.22,0.245,0.388592846887246
Stap1,2.87871711115067e-05,0.0240629798996025,0.147,0.127,0.389807084020912
Blmh,3.01075998401763e-05,-0.0207973778911013,0.179,0.203,0.407687009435827
Otud1,3.11816855447996e-05,0.0273640796294593,0.113,0.095,0.422231203962131
Metap2,3.20441675355921e-05,-0.0324890205083787,0.419,0.455,0.433910072599453
Zc3h13,3.2168340285221e-05,-0.0212717470421436,0.157,0.179,0.435591495802177
Gimap1,3.23345742438862e-05,-0.0263909139299745,0.366,0.395,0.437842469836463
Glud1,3.32138268205505e-05,-0.0230964141791431,0.26,0.286,0.449748428977074
Rrbp1,3.44737645717979e-05,-0.0218872809722818,0.17,0.192,0.466809246066715
Rrm2,3.4614967440822e-05,-0.0427735681449755,0.03,0.041,0.468721274116171
Snrpd3,3.65907494330337e-05,-0.0215016876866795,0.442,0.478,0.49547533807271
Il16,3.70093275903938e-05,-0.0241427857989382,0.363,0.395,0.501143304901522
Minos1,3.77709733314711e-05,-0.0216262340797428,0.349,0.38,0.51145674988145
Trim12a,3.8380765395683e-05,-0.0230318222687394,0.202,0.225,0.519713944222944
Morf4l1,3.86541492070702e-05,-0.0212604340911728,0.671,0.709,0.523415834412937
Qars,3.92356345845485e-05,-0.0204999036655334,0.204,0.228,0.531289727909371
Ccdc85b,3.92611803614261e-05,-0.0237400264479874,0.259,0.285,0.531635643274071
Plxdc2,4.01151998768666e-05,0.0214910697732448,0.11,0.093,0.543199921532651
Patz1,4.0710137440182e-05,-0.0208742859812998,0.222,0.246,0.551255971077504
Mbp,4.09216176312851e-05,-0.0220654542969535,0.179,0.201,0.554119624345232
Ube2k,4.20039464386015e-05,-0.0214537506108067,0.225,0.249,0.568775438725103
Uqcrq,4.24952698964828e-05,-0.0235071957153806,0.447,0.482,0.575428449668273
Gadd45gip1,4.27487821518621e-05,-0.0207353605238506,0.233,0.258,0.578861259118365
Arf5,4.3793407256659e-05,-0.028361701625776,0.689,0.72,0.593006527662419
Rab11a,4.52185350323667e-05,-0.0217336613285466,0.22,0.244,0.612304182873277
Eif2s2,4.52499143272964e-05,-0.0232387649075121,0.424,0.459,0.612729089905921
Itgal,4.57901961577124e-05,-0.0222985710317467,0.204,0.227,0.620045046171583
Cuta,4.61491224293052e-05,-0.0213909725139736,0.262,0.289,0.624905266815222
Ythdc1,4.68586535865882e-05,-0.0232476965180487,0.348,0.38,0.63451302821599
Rfc2,4.74688841436798e-05,-0.0214764003047576,0.145,0.165,0.642776160189568
Rnaset2b,4.81030780674285e-05,-0.0210748075370068,0.214,0.238,0.65136378011105
Pdha1,4.85133238343051e-05,-0.0210185789115243,0.282,0.31,0.656918918040325
Tia1,4.9770898911551e-05,0.0288067400264198,0.231,0.209,0.673947742161312
Maea,5.05761068814531e-05,-0.0209686555239217,0.198,0.221,0.684851063281756
Inpp4b,5.0693107436549e-05,-0.0217784182674124,0.293,0.32,0.68643536779831
Marcks,5.08321089821445e-05,0.0340760967064234,0.17,0.151,0.688317587727219
Bnip2,5.2611668349501e-05,-0.0207741747845785,0.154,0.175,0.712414601120593
Cenpq,5.31223641049224e-05,-0.0203638632067765,0.121,0.14,0.719329932344754
Prkcq,5.60762007635707e-05,-0.0249985300915277,0.334,0.363,0.759327834539511
Sec11a,5.61424743791277e-05,-0.0251028759328201,0.366,0.395,0.760225245567768
Sft2d1,5.6897719132948e-05,-0.0213065286001855,0.202,0.226,0.770452014779249
Herpud1,5.89426737368479e-05,-0.0201688596637954,0.199,0.223,0.798142745070657
Map7d1,6.30093187541806e-05,-0.0208134966090934,0.156,0.177,0.85320918525036
H2afj,6.39044676503156e-05,-0.0273944190197041,0.407,0.436,0.865330396452924
Mrpl21,6.4093485117066e-05,-0.0212256358205466,0.225,0.25,0.86788988197019
Eif3d,6.4408133117796e-05,-0.0212679410768309,0.307,0.335,0.872150530548076
Idh3b,6.53739740718497e-05,-0.0202245791913739,0.319,0.348,0.885228982906917
Rhoh,6.54836842591387e-05,0.0326790394882399,0.584,0.561,0.886714568552997
Dnajb1,7.0405862617266e-05,0.0410481389795545,0.549,0.535,0.953365785700398
Tnfsf11,7.21525882417073e-05,-0.0206596967706781,0.079,0.094,0.977018197380959
1810037I17Rik,7.90379072274134e-05,-0.0210857241685759,0.21,0.234,1
Wasf2,7.99367722209817e-05,-0.0282185771463838,0.374,0.403,1
Lonp2,8.05769570195053e-05,-0.021735019219885,0.293,0.319,1
Timm23,8.33635832789773e-05,-0.0223138279636141,0.4,0.43,1
Cd81,8.75964454987844e-05,-0.0253308912995088,0.273,0.298,1
Timm17b,8.96234558740836e-05,-0.0208397775258139,0.184,0.205,1
Slc3a2,8.99654653422281e-05,-0.0310733895080753,0.314,0.338,1
Atp5f1,9.21424719272032e-05,-0.020845296344301,0.557,0.602,1
Itpr2,9.39856757133175e-05,-0.0240580336101348,0.237,0.261,1
Rpl15,9.61855394705533e-05,0.0201145886958858,0.999,0.999,1
Mrps16,0.000101671270362938,-0.0208631467075281,0.27,0.295,1
Nsa2,0.000104311050927497,0.0328981945768451,0.696,0.683,1
Rcsd1,0.000111551451548677,0.0366700700140596,0.297,0.277,1
Aqp11,0.000111553960800593,0.0468017028839414,0.284,0.262,1
Mbnl2,0.000118251034553611,0.0306662092654798,0.276,0.254,1
Rmnd5a,0.000123106099572467,0.0360615869578659,0.209,0.189,1
